State Fiscal Year Ending,District Code,District,Total Staffing,Intake/Case Maintenance,Services Program,Services Administration,Employment Programs,Medicaid Eligibility Determination and Payment Authorization,Medicaid Policy Planning and Administration,Training,Supplemental Nutrition Assistance Program,Child Support,Fraud and Abuse,Home Energy Assistance Program,Welfare Management System,Other Reimbursable Programs,TANF Funded Services,Administrative Overhead,Non-Administrative Local Program,Overall Overhead
2015,07,Chemung,154,15,47,13,2,19,0,1,18,14,6,3,1,2,,13,0,0
2015,06,Chautauqua,283,27,85,6,18,43,4,1,21,29,9,5,1,6,,28,0,0
2015,05,Cayuga,139,19,39,4,6,22,0,1,14,12,6,1,3,0,,9,0,1
2015,04,Cattaraugus,184,22,50,5,19,27,0,0,21,16,2,4,3,3,,13,0,0
2015,03,Broome,335,38,83,40,20,59,2,3,22,27,1,5,7,0,,28,2,0
2015,02,Allegany,101,6,25,3,7,14,1,0,8,14,2,3,1,3,,13,0,0
2015,01,Albany,457,54,160,18,17,34,1,3,23,28,10,9,0,1,,39,52,6
2014,40,St. Lawrence,241,21,45,20,13,50,4,2,16,25,6,7,3,1,,26,2,0
2014,66,New York City,21714,4574,2968,1634,632,2383,27,211,1789,815,1266,25,13,95,,153,1890,3238
2014,57,Yates,46,2,15,1,2,7,0,1,3,4,1,0,1,0,,8,0,0
2014,56,Wyoming,82,8,17,3,3,16,0,2,9,7,1,1,2,7,,0,0,7
2014,55,Westchester,1026,148,357,62,27,155,10,3,64,66,32,5,10,1,,86,0,0
2014,54,Wayne,155,19,45,7,1,42,0,1,15,11,1,2,2,0,,9,0,0
2014,53,Washington,124,11,37,8,4,20,1,1,10,10,5,3,3,2,,9,0,0
2014,52,Warren,122,14,29,5,2,30,0,1,10,10,4,2,0,5,,9,0,0
2014,51,Ulster,303,30,111,20,5,67,1,1,17,20,5,6,2,0,,18,0,0
2014,50,Tompkins,187,19,56,13,8,29,6,1,17,11,1,3,2,0,,0,3,17
2014,49,Tioga,92,5,25,6,2,8,1,3,12,7,2,2,4,0,,15,0,0
2014,48,Sullivan,151,8,50,8,3,25,0,0,9,10,10,5,3,2,,18,0,0
2014,47,Suffolk,1667,280,469,32,24,405,43,2,120,130,13,11,9,1,,126,0,0
2014,46,Steuben,184,13,51,5,11,26,0,1,17,26,6,5,0,0,,25,0,0
2014,45,Seneca,80,5,34,0,0,12,1,1,8,7,1,1,2,0,,7,0,0
2014,44,Schuyler,51,2,12,2,3,6,0,1,4,4,2,1,1,0,,7,3,2
2014,43,Schoharie,77,5,28,3,2,14,0,0,5,6,1,1,1,0,,10,0,0
2014,42,Schenectady,218,28,96,24,0,23,2,1,10,14,7,3,2,1,,8,0,0
2014,41,Saratoga,210,10,69,10,4,46,1,1,22,21,5,6,5,1,,9,0,0
2014,01,Albany,457,47,154,19,22,39,2,3,22,28,10,8,0,2,,40,56,6
2014,02,Allegany,106,7,24,4,7,16,1,0,11,14,2,3,1,2,,13,0,0
2014,03,Broome,342,36,78,37,21,69,1,3,23,27,1,4,7,3,,30,2,0
2014,04,Cattaraugus,184,20,47,5,20,32,0,0,21,17,2,4,3,1,,12,0,0
2014,05,Cayuga,144,18,41,5,7,25,0,1,15,13,5,1,3,1,,8,0,1
2014,06,Chautauqua,317,32,98,6,19,53,6,1,23,32,10,5,1,6,,26,0,0
2014,07,Chemung,173,14,54,18,3,24,0,1,17,16,7,2,1,3,,13,0,0
2014,08,Chenango,114,12,28,5,0,15,0,3,4,10,3,2,3,0,,9,19,0
2014,09,Clinton,181,16,64,9,6,29,2,1,13,14,2,4,2,3,,16,0,0
2014,10,Columbia,149,13,39,16,6,21,1,1,11,11,7,1,4,0,,18,1,0
2014,11,Cortland,129,16,42,13,7,13,0,1,9,11,3,3,3,0,,9,0,0
2014,12,Delaware,89,1,32,6,1,20,0,1,8,8,1,0,0,0,,13,0,0
2014,13,Dutchess,350,39,99,33,4,40,0,2,24,35,12,5,2,0,,56,0,0
2014,14,Erie,1317,161,269,122,99,225,0,5,128,88,57,48,0,8,,102,6,0
2014,15,Essex,94,5,32,2,1,18,2,0,6,9,2,2,3,0,,13,0,0
2014,16,Franklin,132,12,46,3,5,21,1,1,7,14,4,3,5,2,,9,0,0
2014,17,Fulton,131,7,40,1,8,16,7,1,10,11,5,6,4,2,,13,0,0
2014,18,Genesee,107,5,35,10,3,19,0,0,9,8,2,1,2,0,,12,0,0
2014,19,Greene,102,9,32,2,3,12,3,4,6,7,6,1,2,0,,15,0,0
2014,20,Hamilton,10,0,3,0,0,1,0,0,1,1,0,0,1,0,,2,0,0
2014,21,Herkimer,125,9,30,8,5,18,1,1,9,13,1,4,5,0,,19,0,2
2014,22,Jefferson,217,16,77,6,2,33,0,1,30,13,7,6,5,0,,20,0,0
2014,23,Lewis,68,5,20,1,3,8,0,1,8,6,2,2,2,2,,8,0,0
2014,24,Livingston,128,15,41,9,5,18,0,1,6,8,1,2,0,1,,19,0,0
2014,25,Madison,117,9,31,16,4,18,0,1,10,12,0,6,2,0,,8,0,0
2014,26,Monroe,907,210,317,37,41,87,0,7,91,15,37,11,8,21,,22,5,0
2014,27,Montgomery,104,11,28,2,5,19,2,1,9,7,0,3,2,1,,14,0,0
2014,28,Nassau,811,119,248,43,35,168,2,4,42,49,9,1,9,2,,81,0,0
2014,29,Niagara,409,59,98,26,16,54,0,1,57,38,9,15,5,6,,25,0,0
2014,30,Oneida,469,83,105,21,6,52,26,3,44,47,13,20,12,2,,35,0,0
2014,31,Onondaga,706,116,206,32,0,134,15,1,55,53,20,12,0,7,,54,2,0
2014,32,Ontario,159,15,39,11,11,31,2,8,14,13,2,2,0,3,,7,0,0
2014,33,Orange,447,67,152,31,0,54,0,2,36,30,11,6,13,1,,40,1,2
2014,34,Orleans,85,7,27,0,2,14,0,0,5,9,2,2,1,3,,11,0,0
2014,35,Oswego,283,21,114,16,0,30,0,1,34,23,6,6,4,14,,16,0,0
2014,36,Otsego,126,11,55,1,5,22,0,1,5,5,1,3,3,1,,13,0,0
2014,37,Putnam,78,3,19,5,4,21,1,0,3,5,1,0,2,1,,14,0,0
2014,38,Rensselaer,231,32,82,8,7,33,0,1,15,18,6,6,5,0,,18,0,0
2014,39,Rockland,384,39,147,2,17,67,1,3,31,25,8,2,10,0,,23,9,2
2013,32,Ontario,163,15,43,12,11,33,3,4,13,14,2,3,0,3,,7,0,0
2013,01,Albany,477,43,161,19,21,50,3,3,19,30,11,9,0,3,,45,55,6
2013,02,Allegany,109,8,26,4,7,17,1,0,12,14,2,3,1,2,,12,0,0
2013,03,Broome,335,35,76,37,22,67,1,3,23,25,1,5,7,3,,28,2,0
2013,04,Cattaraugus,188,22,47,5,22,35,0,0,18,17,2,5,3,1,,12,0,0
2013,05,Cayuga,142,18,38,6,6,26,0,1,14,12,5,2,3,1,,8,0,1
2013,06,Chautauqua,317,31,99,6,17,56,7,1,19,32,9,5,1,7,,27,0,0
2013,07,Chemung,176,15,56,18,3,24,0,1,17,16,6,1,1,3,,14,0,0
2013,08,Chenango,116,12,28,5,1,17,0,3,4,10,2,2,3,0,,10,19,0
2013,09,Clinton,182,17,64,9,7,30,2,1,11,14,2,5,2,3,,15,0,0
2013,10,Columbia,153,10,40,16,6,24,1,1,10,12,7,2,4,0,,19,1,0
2013,11,Cortland,130,15,43,12,7,14,0,1,8,10,4,3,3,0,,9,0,0
2013,12,Delaware,94,2,33,6,1,21,0,1,9,10,2,0,0,0,,9,1,0
2013,13,Dutchess,358,42,99,36,4,43,0,2,22,35,11,4,3,0,,58,0,0
2013,14,Erie,1389,180,238,161,103,246,0,5,132,93,56,44,0,14,,112,7,0
2013,15,Essex,93,5,31,2,1,19,2,0,5,9,2,1,3,0,,13,0,0
2013,16,Franklin,133,17,47,3,3,21,1,2,2,14,4,3,6,1,,9,0,0
2013,17,Fulton,129,6,39,1,7,16,7,1,11,11,6,6,4,1,,13,0,0
2013,18,Genesee,111,5,36,11,4,17,0,0,8,9,2,2,2,0,,15,0,0
2013,19,Greene,101,10,33,2,3,13,3,2,6,7,6,1,2,0,,15,0,0
2013,20,Hamilton,9,1,2,0,0,1,0,0,1,1,0,0,1,0,,2,0,0
2013,21,Herkimer,128,7,30,8,6,20,0,1,12,13,1,4,5,0,,20,0,2
2013,22,Jefferson,215,18,75,8,3,33,0,1,28,13,6,6,5,0,,19,0,0
2013,23,Lewis,67,5,20,1,3,8,0,1,6,6,2,2,2,2,,8,0,0
2013,24,Livingston,135,13,43,9,7,21,0,1,7,9,1,2,0,1,,20,0,0
2013,25,Madison,119,8,32,16,4,19,0,1,11,13,0,6,2,0,,8,0,0
2013,26,Monroe,914,194,317,42,49,111,0,7,80,0,33,18,8,25,,24,6,0
2013,27,Montgomery,103,9,28,2,4,22,2,0,8,7,0,4,2,1,,13,0,0
2013,28,Nassau,807,123,248,36,29,170,2,4,40,50,8,1,13,2,,83,0,0
2013,29,Niagara,415,44,99,26,18,57,0,1,72,40,10,14,4,6,,24,0,0
2013,30,Oneida,483,82,108,19,6,64,26,3,44,47,13,21,12,2,,37,0,0
2013,31,Onondaga,718,108,204,32,1,145,16,1,57,53,17,14,0,9,,59,4,0
2013,33,Orange,444,71,146,31,0,57,0,2,34,30,11,5,13,1,,39,1,2
2013,34,Orleans,83,6,27,0,2,14,0,1,6,10,1,2,1,3,,11,0,0
2013,35,Oswego,277,18,110,15,0,36,0,2,26,23,5,8,3,16,,15,0,0
2013,36,Otsego,128,10,56,1,5,22,0,1,6,5,1,3,3,2,,13,0,0
2013,37,Putnam,81,3,19,4,4,22,1,0,5,5,1,0,2,1,,14,0,0
2013,38,Rensselaer,232,30,83,5,7,35,0,1,17,18,6,6,5,0,,18,0,0
2013,39,Rockland,398,41,148,2,18,70,1,3,30,26,8,2,10,0,,24,14,2
2013,40,St. Lawrence,245,20,46,19,14,53,4,2,16,25,7,8,3,1,,26,0,0
2013,41,Saratoga,212,14,65,10,5,46,1,1,20,21,5,7,6,1,,9,1,0
2013,42,Schenectady,223,27,107,15,1,26,2,1,10,14,7,3,2,1,,7,0,0
2013,43,Schoharie,78,5,29,3,2,14,0,0,5,7,1,2,1,0,,9,0,0
2013,44,Schuyler,49,3,13,2,3,8,0,1,3,4,2,1,1,0,,8,0,0
2013,45,Seneca,142,5,34,0,0,13,1,1,7,7,2,1,2,0,,69,0,0
2013,46,Steuben,179,11,51,6,10,28,0,0,20,24,6,3,0,0,,20,0,0
2013,47,Suffolk,1691,266,470,31,26,416,49,2,125,131,14,13,10,1,,136,0,0
2013,48,Sullivan,136,6,43,7,3,24,0,0,8,10,8,5,4,2,,16,0,0
2013,49,Tioga,98,4,25,7,4,12,1,3,11,7,2,3,4,0,,15,0,0
2013,50,Tompkins,193,20,56,13,12,28,7,1,14,12,2,5,2,1,,0,2,18
2013,51,Ulster,306,29,115,21,6,67,1,1,17,20,5,4,3,0,,17,0,0
2013,52,Warren,123,15,31,5,3,30,0,0,9,10,4,4,0,4,,10,0,0
2013,53,Washington,127,11,37,8,4,22,1,1,10,10,5,4,3,2,,9,0,0
2013,54,Wayne,157,20,44,7,1,44,0,1,14,11,1,2,2,0,,10,0,0
2013,55,Westchester,1049,144,371,63,34,165,6,3,63,69,29,5,11,1,,84,0,0
2013,56,Wyoming,83,8,16,3,3,17,0,1,9,8,1,1,2,8,,0,0,7
2013,57,Yates,45,2,15,1,1,8,0,1,3,4,1,0,1,0,,8,0,0
2013,66,New York City,22007,4558,3024,1688,787,2533,30,214,1839,826,1208,28,15,91,,222,1607,3336
2012,66,New York City,21744,4609,3045,1722,865,2651,36,214,1611,824,1126,,14,157,,223,1280,3367
2012,57,Yates,45,1,15,1,1,8,0,1,3,4,1,,1,1,,8,0,0
2012,56,Wyoming,82,7,15,3,3,17,0,2,9,8,1,,2,10,,0,0,6
2012,55,Westchester,1068,134,377,63,34,187,7,3,62,69,31,,12,7,,82,0,0
2012,54,Wayne,153,18,43,6,1,41,0,1,15,10,1,,2,3,,10,0,0
2012,53,Washington,129,10,39,7,4,21,1,1,11,10,5,,3,9,,8,0,0
2012,52,Warren,127,14,30,5,5,31,0,1,9,11,4,,0,7,,11,0,0
2012,51,Ulster,306,28,117,18,6,64,4,0,17,20,5,,2,8,,17,0,0
2012,50,Tompkins,186,16,53,13,12,31,7,1,15,12,1,,3,5,,0,0,17
2012,49,Tioga,99,4,22,6,7,10,1,5,8,9,2,,5,4,,15,0,0
2012,48,Sullivan,154,8,52,5,4,26,0,0,7,12,9,,8,9,,13,0,0
2012,47,Suffolk,1730,261,476,29,38,432,49,2,120,140,16,,12,15,,141,0,0
2012,46,Steuben,180,10,49,8,9,31,0,1,19,23,7,,0,6,,18,1,0
2012,45,Seneca,79,3,33,0,0,14,1,1,7,7,2,,2,1,,7,0,0
2012,44,Schuyler,50,2,13,2,3,8,0,1,3,4,2,,1,1,,9,0,0
2012,43,Schoharie,77,5,28,3,2,14,0,1,5,7,1,,1,3,,9,0,0
2012,42,Schenectady,231,25,102,25,1,27,2,1,11,17,7,,2,4,,6,0,0
2012,41,Saratoga,215,18,61,12,4,47,1,1,18,23,5,,6,10,,9,0,0
2012,40,St. Lawrence,246,21,48,20,13,52,4,2,17,25,6,,3,9,,26,1,0
2012,39,Rockland,401,36,140,2,19,80,2,4,29,25,9,,8,4,,24,17,3
2012,38,Rensselaer,234,31,86,5,8,36,0,1,15,18,6,,5,6,,17,0,0
2012,37,Putnam,80,3,19,4,4,22,1,0,4,5,2,,2,1,,13,0,0
2012,36,Otsego,127,9,52,1,5,23,0,1,6,6,1,,2,7,,14,0,0
2012,35,Oswego,268,18,112,12,0,39,0,2,20,22,6,,3,16,,16,0,0
2012,34,Orleans,85,6,23,5,2,14,0,1,6,10,1,,1,6,,12,0,0
2012,33,Orange,452,71,146,31,0,63,0,2,30,31,13,,14,7,,40,1,2
2012,32,Ontario,161,15,42,13,12,32,3,2,13,14,3,,0,8,,6,0,0
2012,31,Onondaga,724,104,205,31,1,144,17,2,54,53,16,,0,33,,60,4,0
2012,30,Oneida,470,83,105,16,6,64,20,3,43,46,12,,13,24,,38,0,0
2012,29,Niagara,422,45,99,28,17,58,0,1,73,42,9,,4,23,,23,0,0
2012,28,Nassau,863,127,259,37,31,177,2,4,43,63,7,,14,5,,94,0,0
2012,27,Montgomery,105,9,31,2,5,26,2,0,8,5,0,,2,6,,9,0,0
2012,26,Monroe,918,200,323,37,44,112,1,6,90,0,27,,8,41,,26,4,0
2012,25,Madison,120,8,33,17,3,19,0,1,9,13,1,,2,6,,8,0,0
2012,24,Livingston,142,11,42,10,11,23,0,2,8,11,1,,0,4,,19,0,0
2012,23,Lewis,68,5,20,1,4,8,0,1,6,6,2,,2,6,,8,0,0
2012,22,Jefferson,211,18,64,13,3,35,0,1,29,12,6,,5,8,,18,0,0
2012,21,Herkimer,135,8,30,8,6,20,0,1,14,14,1,,6,5,,19,0,2
2012,20,Hamilton,11,1,3,0,0,1,0,1,1,1,0,,1,0,,2,0,0
2012,19,Greene,109,10,35,2,2,15,4,2,6,9,6,,2,3,,15,0,0
2012,18,Genesee,112,5,36,10,4,18,0,0,8,9,3,,1,2,,15,0,0
2012,17,Fulton,130,7,39,1,9,16,6,1,11,11,6,,4,8,,12,0,0
2012,16,Franklin,139,16,49,3,3,23,1,2,2,16,4,,6,5,,10,0,0
2012,15,Essex,95,4,31,2,1,20,2,0,5,9,2,,3,3,,14,0,0
2012,14,Erie,1507,187,229,193,119,272,1,4,140,100,58,,5,65,,128,7,0
2012,13,Dutchess,363,40,102,35,7,44,0,2,21,36,9,,3,4,,61,0,0
2012,12,Delaware,94,1,33,7,1,20,0,1,8,10,1,,0,2,,11,0,0
2012,11,Cortland,128,16,43,11,6,13,0,1,9,11,3,,3,4,,9,0,0
2012,10,Columbia,153,9,39,18,6,25,1,1,9,11,6,,4,2,,19,2,0
2012,09,Clinton,184,14,64,10,8,30,2,1,11,13,3,,3,9,,15,0,0
2012,08,Chenango,118,7,26,5,3,21,0,3,3,11,2,,3,5,,10,20,0
2012,07,Chemung,180,14,60,16,3,26,0,1,16,16,7,,1,7,,13,0,0
2012,06,Chautauqua,314,29,99,7,12,58,9,1,21,33,8,,1,13,,25,0,0
2012,05,Cayuga,141,17,37,6,6,26,0,1,14,12,5,,4,3,,8,0,1
2012,04,Cattaraugus,193,22,47,5,23,33,0,0,15,18,2,,4,10,,14,0,0
2012,03,Broome,344,33,78,36,21,70,2,3,25,28,1,,7,9,,29,2,0
2012,02,Allegany,109,8,25,4,7,17,1,0,12,14,2,,1,6,,12,0,0
2012,01,Albany,510,47,160,17,24,55,3,2,23,30,19,,0,10,,53,62,5
2011,66,New York City,21838,4849,3121,1820,824,2615,40,188,1582,850,1147,,15,250,,226,921,3390
2011,57,Yates,45,1,15,1,1,8,0,1,3,4,0,,1,2,,8,0,0
2011,56,Wyoming,83,6,16,3,3,17,0,3,8,9,1,,2,10,,0,0,6
2011,55,Westchester,1126,140,382,73,36,203,8,3,60,70,38,,13,7,,93,0,0
2011,54,Wayne,152,17,41,7,1,40,0,1,13,10,1,,3,5,,11,0,0
2011,53,Washington,134,10,42,7,4,21,1,1,11,10,5,,3,9,,8,0,0
2011,52,Warren,129,13,31,6,5,33,0,1,8,11,3,,1,6,,12,0,0
2011,51,Ulster,307,26,109,26,7,63,5,0,18,19,6,,3,8,,17,0,0
2011,50,Tompkins,183,13,50,14,13,35,7,1,15,11,1,,3,4,,0,0,17
2011,49,Tioga,101,5,22,7,7,12,1,3,8,8,2,,5,5,,15,0,0
2011,48,Sullivan,176,14,55,5,3,28,0,0,12,13,10,,9,10,,15,0,0
2011,47,Suffolk,1733,251,482,29,49,420,47,2,116,145,16,,14,22,,140,0,0
2011,46,Steuben,191,10,51,9,10,31,0,1,20,24,8,,1,7,,19,1,0
2011,45,Seneca,79,3,33,0,0,16,1,1,6,7,2,,2,1,,7,0,0
2011,44,Schuyler,51,3,13,2,3,8,0,1,4,5,2,,1,1,,9,0,0
2011,43,Schoharie,78,6,27,3,2,14,0,0,5,7,1,,1,2,,9,0,0
2011,42,Schenectady,252,26,130,8,1,29,2,1,13,19,8,,2,6,,8,0,0
2011,41,Saratoga,214,17,61,14,4,44,1,1,15,26,5,,6,10,,9,0,0
2011,40,St. Lawrence,245,16,47,19,13,51,4,2,18,26,6,,3,11,,28,0,0
2011,39,Rockland,395,30,140,2,19,85,2,4,25,25,10,,6,2,,26,17,1
2011,38,Rensselaer,253,32,89,5,8,38,0,1,15,20,7,,6,12,,20,0,0
2011,37,Putnam,81,3,18,5,4,23,0,1,4,5,1,,2,1,,13,0,0
2011,36,Otsego,129,9,51,1,5,24,0,1,5,7,1,,3,7,,15,0,0
2011,35,Oswego,270,16,110,14,0,42,0,2,16,23,5,,3,21,,18,1,0
2011,34,Orleans,88,8,28,0,2,15,0,1,5,10,1,,1,6,,11,0,0
2011,33,Orange,461,69,147,32,0,67,0,3,28,33,14,,14,11,,41,1,2
2011,32,Ontario,157,15,42,9,10,31,3,4,12,14,3,,0,8,,7,0,0
2011,31,Onondaga,708,103,212,32,1,138,3,2,51,55,14,,0,30,,62,5,0
2011,30,Oneida,507,83,104,22,13,69,23,5,38,49,16,,16,30,,40,0,0
2011,29,Niagara,431,52,99,29,14,61,0,1,72,43,9,,5,25,,21,0,0
2011,28,Nassau,871,131,259,37,33,186,3,3,40,74,8,,3,2,,92,0,0
2011,27,Montgomery,111,9,33,2,6,28,2,1,8,7,0,,2,6,,8,0,0
2011,26,Monroe,940,203,332,45,40,108,7,7,86,0,27,,8,48,,29,0,0
2011,25,Madison,121,9,35,16,3,19,0,1,9,12,0,,2,6,,8,0,0
2011,24,Livingston,143,10,41,11,13,22,0,2,8,12,1,,0,4,,20,0,0
2011,23,Lewis,67,4,20,1,3,8,0,1,5,6,2,,2,7,,9,0,0
2011,22,Jefferson,208,16,67,5,2,43,0,1,26,13,5,,5,7,,19,0,0
2011,21,Herkimer,136,6,30,9,6,23,0,1,13,14,1,,6,6,,18,0,2
2011,20,Hamilton,11,0,2,0,1,1,0,0,1,1,1,,1,0,,2,0,0
2011,19,Greene,112,6,34,2,3,16,5,2,6,9,5,,2,2,,20,0,0
2011,18,Genesee,113,5,34,10,5,17,0,0,8,9,3,,1,5,,14,0,0
2011,17,Fulton,136,8,41,1,8,17,7,2,11,11,6,,3,7,,14,0,0
2011,16,Franklin,149,20,50,3,3,24,1,2,3,18,3,,6,6,,10,0,0
2011,15,Essex,94,4,30,2,1,20,2,0,5,9,2,,3,3,,14,0,0
2011,14,Erie,1600,194,228,205,136,297,2,6,138,107,63,,11,64,,142,8,0
2011,13,Dutchess,371,40,101,36,9,47,0,2,22,38,10,,3,4,,59,0,0
2011,12,Delaware,96,1,28,11,1,20,1,1,8,10,2,,0,2,,10,1,0
2011,11,Cortland,128,16,42,10,6,14,0,1,8,11,2,,3,5,,11,0,0
2011,10,Columbia,150,9,38,17,4,27,1,1,9,12,6,,4,2,,19,2,0
2011,09,Clinton,188,13,65,10,10,29,3,1,12,14,3,,3,9,,16,0,0
2011,08,Chenango,118,5,25,5,4,22,0,3,2,10,3,,3,3,,11,20,0
2011,07,Chemung,178,15,58,17,3,26,0,0,14,16,6,,1,7,,14,0,0
2011,06,Chautauqua,303,24,106,4,21,56,8,1,20,34,6,,1,5,,18,0,0
2011,05,Cayuga,143,17,36,7,7,26,0,1,14,13,5,,5,4,,8,0,1
2011,04,Cattaraugus,169,17,41,5,18,31,0,0,12,16,2,,6,8,,14,0,0
2011,03,Broome,322,31,73,36,20,67,2,2,23,25,1,,6,9,,26,2,0
2011,02,Allegany,109,8,25,4,7,17,1,0,13,13,2,,1,5,,13,0,0
2011,01,Albany,520,53,147,18,27,57,2,2,21,30,24,,0,14,,56,63,6
2010,66,New York City,22636,5167,3384,2095,829,2435,40,194,1604,850,1178,,14,233,,208,939,3465
2010,56,Wyoming,82,7,16,4,4,15,1,2,7,9,1,,2,10,,0,0,6
2010,55,Westchester,1221,154,406,89,36,210,8,3,62,76,44,,15,5,,111,0,0
2010,54,Wayne,150,18,40,7,2,41,0,1,11,11,1,,3,4,,10,0,0
2010,53,Washington,141,10,44,7,5,21,2,1,11,10,5,,4,12,,11,0,0
2010,52,Warren,128,13,33,7,4,30,0,1,10,11,3,,2,3,,11,0,0
2010,51,Ulster,317,27,121,17,9,63,6,0,18,21,7,,2,9,,18,0,0
2010,50,Tompkins,188,18,51,15,14,32,6,2,11,11,2,,3,6,,0,0,17
2010,49,Tioga,104,3,25,6,7,11,1,5,9,9,2,,5,5,,16,0,0
2010,48,Sullivan,193,15,57,4,4,36,0,0,13,16,13,,9,10,,15,0,0
2010,47,Suffolk,1724,242,483,29,47,398,45,2,117,154,18,,16,29,,145,0,0
2010,46,Steuben,201,10,54,10,11,27,2,1,17,27,8,,2,11,,20,1,0
2010,45,Seneca,83,3,32,1,0,13,1,1,6,7,2,,2,2,,13,0,0
2010,44,Schuyler,56,3,15,2,3,8,0,1,3,5,2,,2,2,,9,0,0
2010,43,Schoharie,80,5,29,3,2,17,0,0,4,7,1,,1,3,,9,0,0
2010,42,Schenectady,232,24,118,7,1,27,2,1,10,19,7,,2,7,,8,0,0
2010,41,Saratoga,216,17,61,15,5,45,1,1,14,28,5,,6,10,,9,0,0
2010,40,St. Lawrence,247,16,46,19,14,51,4,2,15,26,5,,3,15,,30,1,0
2010,39,Rockland,446,28,158,2,21,104,3,4,22,28,10,,9,3,,33,18,1
2010,38,Rensselaer,256,34,84,6,8,38,0,2,15,21,7,,6,12,,22,0,0
2010,37,Putnam,78,4,17,5,3,21,0,1,3,5,1,,2,1,,13,0,0
2010,36,Otsego,131,10,52,1,5,25,0,1,5,7,1,,3,8,,13,0,0
2010,35,Oswego,276,19,113,13,0,46,0,1,16,25,6,,3,16,,19,0,0
2010,34,Orleans,91,8,30,0,2,15,0,1,5,10,1,,1,6,,12,0,0
2010,33,Orange,464,68,147,33,0,69,0,4,23,35,16,,15,10,,41,1,2
2010,32,Ontario,155,15,43,9,9,30,3,2,11,15,3,,0,8,,7,0,0
2010,31,Onondaga,736,114,216,38,2,131,0,2,54,61,16,,1,28,,69,3,0
2010,30,Oneida,539,87,106,24,16,76,22,5,40,52,19,,16,32,,43,0,0
2010,29,Niagara,428,53,87,35,15,61,0,1,71,41,8,,5,31,,19,0,0
2010,28,Nassau,874,136,261,37,27,186,3,4,29,76,10,,1,7,,95,0,0
2010,27,Montgomery,114,9,34,2,6,28,2,1,8,8,0,,2,7,,8,0,0
2010,26,Monroe,964,230,342,45,37,108,8,7,68,0,32,,10,50,,28,0,0
2010,25,Madison,120,9,35,17,3,20,0,1,8,13,0,,2,6,,8,0,0
2010,24,Livingston,144,11,41,13,13,21,0,2,8,11,2,,0,5,,18,0,0
2010,23,Lewis,69,4,18,1,3,8,0,1,5,6,2,,2,8,,11,0,0
2010,22,Jefferson,211,18,67,6,0,43,0,1,26,13,5,,5,9,,18,0,0
2010,21,Herkimer,132,6,29,9,7,24,0,1,13,14,1,,6,5,,15,0,2
2010,20,Hamilton,10,1,2,0,0,1,0,0,1,1,1,,1,0,,2,0,0
2010,19,Greene,111,5,33,2,3,15,7,3,5,9,5,,2,1,,22,0,0
2010,18,Genesee,112,5,35,11,6,16,0,0,8,9,3,,1,5,,14,0,0
2010,17,Fulton,134,9,40,1,7,19,6,2,10,11,6,,3,7,,14,0,0
2010,16,Franklin,149,20,50,3,3,24,1,1,3,19,3,,5,7,,10,0,0
2010,15,Essex,94,5,30,2,1,21,2,0,4,9,2,,3,3,,13,0,0
2010,14,Erie,1586,199,230,193,141,298,2,6,122,111,61,,12,71,,134,8,0
2010,13,Dutchess,370,42,103,35,7,48,0,2,20,39,10,,3,5,,57,0,0
2010,12,Delaware,100,6,32,8,2,16,3,1,7,9,3,,0,1,,13,0,0
2010,11,Cortland,128,17,40,9,6,16,0,1,8,11,3,,3,5,,11,0,0
2010,10,Columbia,148,9,40,17,4,27,1,1,8,12,6,,4,3,,17,1,0
2010,09,Clinton,187,11,65,10,11,23,3,1,16,14,4,,3,9,,17,0,0
2010,57,Yates,45,1,15,1,1,8,0,1,3,4,0,,1,1,,8,0,0
2010,08,Chenango,118,4,25,6,5,23,0,3,1,10,3,,3,4,,11,20,0
2010,07,Chemung,181,14,58,17,3,23,0,1,15,17,8,,1,9,,15,0,0
2010,06,Chautauqua,316,31,105,3,20,58,8,1,20,33,7,,1,10,,20,0,0
2010,05,Cayuga,144,18,34,7,7,25,0,1,14,13,5,,6,5,,8,0,1
2010,04,Cattaraugus,184,18,44,6,21,32,0,0,15,17,2,,7,7,,16,0,0
2010,03,Broome,373,29,90,42,23,75,2,3,25,27,2,,7,17,,30,2,0
2010,02,Allegany,110,7,27,4,6,19,1,0,11,14,2,,1,5,,13,0,0
2010,01,Albany,551,52,160,20,25,64,3,2,20,32,26,,0,14,,63,64,6
2009,66,New York City,23712,5300,4602,1423,942,2390,43,191,1618,829,1204,,13,237,,173,1008,3739
2009,57,Yates,44,1,15,1,1,8,0,1,3,4,1,,0,2,,8,0,0
2009,56,Wyoming,83,8,15,5,3,16,0,1,8,9,1,,1,9,,0,0,7
2009,55,Westchester,1210,150,406,97,33,218,8,2,53,77,45,,16,4,,101,0,0
2009,54,Wayne,148,19,40,7,2,41,0,1,12,10,1,,3,3,,10,0,0
2009,53,Washington,148,11,44,7,5,26,3,1,11,11,4,,4,10,,11,0,0
2009,52,Warren,131,15,34,7,3,28,0,1,11,11,3,,2,3,,11,1,0
2009,51,Ulster,322,30,122,20,11,64,6,0,16,22,9,,2,7,,14,0,0
2009,50,Tompkins,194,25,55,17,13,29,6,2,8,12,2,,3,6,,0,0,14
2009,49,Tioga,105,6,25,5,7,11,1,2,9,9,2,,5,6,,17,0,0
